question,query_type,baseline_similarity,improved_similarity,similarity_change,baseline_exact_match,improved_exact_match,ground_truth_sql,improved_generated_sql,baseline_generated_sql
How many teams are in the NBA?,counting,0.375,0.95,0.575,False,False,SELECT COUNT(*) as team_count FROM team LIMIT 1,SELECT COUNT(*) as team_count FROM team,"SELECT COUNT(*) AS total_nba_teams
FROM teams
WHERE league = 'NBA';"
What are the 5 oldest teams in the NBA?,ranking,0.5750000000000001,0.9166666666666666,0.34166666666666656,False,False,SELECT full_name FROM team ORDER BY year_founded ASC LIMIT 5,"SELECT full_name, year_founded FROM team ORDER BY year_founded ASC LIMIT 5","SELECT team_name, established_date
FROM nba_teams
ORDER BY established_date ASC
LIMIT 5;"
List all teams from California,filtering,0.65,1.0,0.35,False,True,SELECT full_name FROM team WHERE state = 'California',SELECT full_name FROM team WHERE state = 'California',"SELECT *
FROM teams
WHERE state = 'California';"
What's the total number of games played?,counting,0.625,0.7,0.07499999999999996,False,False,SELECT COUNT(DISTINCT game_id) as total_games FROM game LIMIT 1,SELECT COUNT(*) as total_games FROM game,"SELECT COUNT(*) AS total_games_played
FROM games;"
What's the highest scoring game?,ranking,0.4875,0.53125,0.04375000000000001,False,False,SELECT g.pts_home + g.pts_away as total_points FROM game g ORDER BY total_points DESC LIMIT 1,"SELECT g.game_id, g.game_date, t1.full_name AS home_team, t2.full_name AS away_team, g.pts_home, g.pts_away, (g.pts_home + g.pts_away) AS total_points FROM game g JOIN team t1 ON g.team_id_home = t1.id JOIN team t2 ON g.team_id_away = t2.id ORDER BY total_points DESC LIMIT 1","SELECT *
FROM games
ORDER BY score DESC
LIMIT 1;"
How many players are from Duke University?,counting,0.61875,0.6875,0.06874999999999998,False,False,SELECT COUNT(*) as player_count FROM draft_history WHERE organization = 'Duke University' LIMIT 1,SELECT COUNT(*) as duke_players_count FROM common_player_info WHERE school = 'Duke University' LIMIT 1,"SELECT COUNT(*) AS player_count
FROM players
WHERE college = 'Duke University';"
Which team has the most home games?,ranking,0.3044444444444444,0.8905555555555557,0.5861111111111112,False,False,"SELECT t.full_name FROM game g JOIN team t ON g.team_id_home = t.id GROUP BY t.id, t.full_name ORDER BY COUNT(*) DESC LIMIT 1","SELECT t.full_name, COUNT(*) as home_games_count FROM game g JOIN team t ON g.team_id_home = t.id GROUP BY t.id, t.full_name ORDER BY home_games_count DESC LIMIT 1","SELECT home_team, COUNT(*) AS home_games_count
FROM games
GROUP BY home_team
ORDER BY home_games_count DESC
LIMIT 1;"
What's the average points per game?,aggregation,0.625,0.825,0.19999999999999996,False,False,"SELECT ROUND(AVG(pts_home + pts_away) / 2, 2) as avg_points FROM game LIMIT 1","SELECT ROUND(AVG((pts_home + pts_away) / 2), 2) as avg_points_per_game FROM game","SELECT AVG(points) AS average_points_per_game
FROM games;"
List all players from Spain,filtering,0.47500000000000003,0.6,0.12499999999999994,False,False,"SELECT first_name, last_name FROM common_player_info WHERE country = 'Spain'",SELECT DISTINCT cpi.display_first_last FROM common_player_info cpi WHERE cpi.country = 'Spain',"SELECT *
FROM players
WHERE country = 'Spain';"
How many games went to overtime?,counting,0.44999999999999996,0.788235294117647,0.3382352941176471,False,False,SELECT COUNT(*) as ot_games FROM line_score WHERE pts_ot1_home IS NOT NULL LIMIT 1,"SELECT COUNT(*) as overtime_games 
FROM line_score 
WHERE pts_ot1_home IS NOT NULL AND pts_ot1_home > 0 
   OR pts_ot1_away IS NOT NULL AND pts_ot1_away > 0","SELECT COUNT(*) AS overtime_games
FROM games
WHERE overtime = TRUE;"
What's the most common jersey number?,ranking,0.10499999999999998,0.8866666666666666,0.7816666666666666,False,False,SELECT jersey FROM common_player_info WHERE jersey != '' GROUP BY jersey ORDER BY COUNT(*) DESC LIMIT 1,"SELECT jersey, COUNT(*) as count FROM common_player_info WHERE jersey != '' GROUP BY jersey ORDER BY count DESC LIMIT 1","SELECT jersey_number, COUNT(*) AS frequency
FROM players
GROUP BY jersey_number
ORDER BY frequency DESC
LIMIT 1;"
List all teams in the Eastern Conference,filtering,0.425,0.4666666666666666,0.04166666666666663,False,False,"SELECT full_name FROM team WHERE city IN ('Boston', 'Brooklyn', 'New York', 'Philadelphia', 'Toronto', 'Chicago', 'Cleveland', 'Detroit', 'Indiana', 'Milwaukee', 'Atlanta', 'Charlotte', 'Miami', 'Orlando', 'Washington')",SELECT t.full_name FROM team t JOIN team_info_common tic ON t.id = tic.team_id WHERE tic.team_conference = 'East' GROUP BY t.full_name,"SELECT *
FROM teams
WHERE conference = 'Eastern'"
What's the average height of NBA players?,aggregation,0.2,0.7432692307692307,0.5432692307692306,False,False,"SELECT ROUND(AVG(CAST(SUBSTR(height, 1, INSTR(height, '-')-1) AS FLOAT)), 2) as avg_height FROM common_player_info WHERE height != '' LIMIT 1","SELECT ROUND(AVG(CAST(SUBSTR(height, 1, INSTR(height, '-') - 1) AS FLOAT) * 12 + CAST(SUBSTR(height, INSTR(height, '-') + 1) AS FLOAT)), 2) as avg_height_inches FROM common_player_info WHERE height IS NOT NULL","SELECT AVG(height) AS average_height
FROM players
WHERE league = 'NBA';"
How many players were drafted in 2020?,counting,0.2833333333333333,1.0,0.7166666666666667,False,True,SELECT COUNT(*) as draft_count FROM draft_history WHERE season = '2020' LIMIT 1,SELECT COUNT(*) as drafted_players_count FROM draft_history WHERE season = '2020' LIMIT 1,"SELECT COUNT(*) 
FROM players 
WHERE draft_year = 2020;"
Which team has the newest arena?,detail,0.5083333333333334,0.8933333333333334,0.385,False,False,SELECT t.full_name FROM team t JOIN team_details td ON t.id = td.team_id ORDER BY td.arena DESC LIMIT 1,"SELECT t.nickname, t.full_name, td.arena FROM team_details td JOIN team t ON td.team_id = t.id ORDER BY td.arenacapacity DESC LIMIT 1","SELECT team_name
FROM teams
JOIN arenas ON teams.arena_id = arenas.id
ORDER BY arenas.year_opened DESC
LIMIT 1;"
What's the average weight of NBA players?,aggregation,0.2,0.778125,0.578125,False,False,"SELECT ROUND(AVG(CAST(weight AS FLOAT)), 2) as avg_weight FROM common_player_info WHERE weight != '' LIMIT 1","SELECT ROUND(AVG(CAST(weight AS REAL)), 2) as avg_weight FROM common_player_info WHERE weight IS NOT NULL AND weight != ''","SELECT AVG(weight) AS average_weight
FROM players
WHERE league = 'NBA';"
List all rookie players,filtering,0.3333333333333333,0.5222222222222223,0.18888888888888894,False,False,"SELECT first_name, last_name FROM common_player_info WHERE season_exp = 0",SELECT p.full_name FROM common_player_info cpi JOIN player p ON cpi.person_id = p.id WHERE cpi.season_exp = 0,"SELECT *
FROM players
WHERE rookie = TRUE;"
